(cord#neutral)(battery life#positive),I charge it at night and skip taking the cord with me because of the good battery life.
,  I should have realized that trouble was brewing .
(virus protection programs for a Mac#negative),"They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist."
,Thank you.
,The benefits were immediate!
,Much faster than my old windows laptop that died on me.
,"Never any doubt I would get a MacBook, just wasn't sure which one."
(Screen#positive)(HDMI#neutral),"But with A WAY Bigger Screen, and IS able to connect to an HDMI."
(graphics#negative)(wireless switch#negative),the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
(build quality#positive),The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.
,I bought my Acer Aspire custom made in June 2008.
(technical person#neutral),I guess he was the technical person.
,They click.
(mouse#neutral),A seventy dollar mouse!
(shipped#negative),"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me."
,I have the A65 - right now it's a paperweight.
(size#negative),when i first got it i thought the size of it was a joke.
,"That being said, it still runs video in full screen decently."
(internet connection#positive),It is fast and i have not had a problem with internet connection or any other problems.
(quality#positive)(performance#positive)(price#positive),I'm really impressed with the quality and performance for the price of the computer.
(recovery DVDs#neutral)(driver/application DVD#neutral),"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD."
(photo detection software#positive),"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture."
(speakers#negative),The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.
(price#negative),"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one)."
,What's really great about this product is you may have a family member who is computer illiterate and you can pretty much just let them loose on this computer without any real supervision.
,"The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times."
,PDF files can be viewed instantly.
,Dell Latitude d620 is not a reliable machine.
,I have had it for almost four years now and I have only had a few problems with it.
,Overall for the money this is a good deal.
(use#positive),"It is so simple to use, I use it more than my desktop."
(touchpad#negative)(screen#neutral)(mouse pointer#negative),I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.
,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.
,"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201"
,   It has a overheating issue - nearly to the point of being dangerous.
(hardware#negative),I have had no problems with it unlike some hardware defects on past models.
(KEYBOARD#negative),"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY."
(Windows#negative),"Well, I have to say since I bought my Mac, I won't ever go back to any Windows."
(cost#negative),"I took it in to the Apple store and guess what? They fixed it, no cost out of pocket."
,I have used different laptops in the past and I have to rate this one way above the rest.
,I love the Mac so much better than my work PC!
(quality#positive)(engineering design#positive)(warranty#positive),"The quality, engineering design and warranty are superior--covers damage from dropping the laptop."
,I recommend the Macbook Pro if you want the best laptop on the market.
(applications#positive),"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned."
